Transition,TwoLegged,Angle,Distance,PlayerType_C,PlayerType_F,PlayerType_G,Competition_EURO,Competition_NBA,Competition_SLO1,Competition_U14,Competition_U16,Movement_dribble or cut,Movement_drive,Movement_no,target
0,1,34.71,5.55,0,1,0,0,0,0,1,0,0,0,1,1
0,1,15.06,4.95,0,1,0,0,0,0,1,0,0,0,1,1
0,0,68.3,0.69,0,1,0,0,0,0,1,0,1,0,0,2
0,0,50.89,1.17,0,1,0,0,0,0,1,0,0,0,1,1
0,1,8.87,0.69,0,1,0,0,0,0,1,0,0,0,1,2
0,0,59.97,0.62,0,1,0,0,0,0,1,0,1,0,0,2
1,1,22.58,0.98,0,1,0,0,0,0,1,0,0,0,1,6
0,1,55.35,1.3,0,1,0,0,0,0,1,0,0,0,1,1
0,0,77.03,0.66,0,1,0,0,0,0,1,0,0,1,0,2
0,0,64.48,0.59,0,1,0,0,0,0,1,0,1,0,0,2
1,0,42.56,0.71,0,1,0,0,0,0,1,0,0,0,1,1
1,0,42.78,0.79,0,1,0,0,0,0,1,0,1,0,0,2
0,0,33.16,1.08,1,0,0,0,0,0,1,0,0,0,1,1
0,1,70.78,4.54,1,0,0,0,0,0,1,0,0,0,1,1
0,1,65.78,5.87,0,0,1,0,0,0,1,0,0,0,1,6
1,0,18.59,1.01,0,1,0,0,0,0,1,0,1,0,0,1
0,0,70.14,0.91,0,1,0,0,0,0,1,0,1,0,0,2
0,1,30.82,7.32,0,1,0,0,0,0,1,0,0,0,1,6
1,0,53.57,1.07,0,1,0,0,0,0,1,0,1,0,0,2
0,0,53.45,1.33,0,1,0,0,0,0,1,0,1,0,0,2
0,1,43.72,7.21,0,1,0,0,0,0,1,0,0,0,1,6
0,1,77.95,6.9,0,1,0,0,0,0,1,0,0,0,1,6
0,0,39.79,0.75,0,1,0,0,0,0,1,0,0,1,0,2
0,1,44.93,7.05,0,1,0,0,0,0,1,0,0,0,1,6
0,0,25.09,2.78,0,1,0,0,0,0,1,0,0,0,1,1
0,1,75.89,1.49,0,1,0,0,0,0,1,0,0,0,1,2
0,1,7.94,5.04,0,0,1,0,0,0,1,0,0,0,1,1
0,0,71.09,0.62,0,0,1,0,0,0,1,0,0,1,0,2
0,1,78.22,2.57,0,0,1,0,0,0,1,0,0,0,1,1
0,1,24.02,5.53,0,0,1,0,0,0,1,0,0,0,1,1
0,1,4.48,2.74,0,0,1,0,0,0,1,0,0,0,1,1
0,1,40.67,7.15,0,0,1,0,0,0,1,0,0,0,1,1
1,0,62.05,0.55,0,0,1,0,0,0,1,0,1,0,0,2
0,1,14.02,3.32,0,0,1,0,0,0,1,0,0,0,1,1
0,1,51.81,7.29,0,0,1,0,0,0,1,0,0,0,1,1
0,0,12.88,1.2,0,0,1,0,0,0,1,0,1,0,0,2
0,0,17.02,0.55,0,0,1,0,0,0,1,0,0,1,0,2
0,1,86.99,6.92,0,0,1,0,0,0,1,0,0,0,1,1
1,1,27.06,7.3,0,0,1,0,0,0,1,0,0,0,1,1
0,1,52.38,7.03,0,0,1,0,0,0,1,0,0,0,1,1
0,1,54.36,7.19,0,0,1,0,0,0,1,0,0,0,1,1
0,1,85.53,3.98,0,0,1,0,0,0,1,0,0,0,1,1
0,1,23.25,7.19,0,0,1,0,0,0,1,0,0,0,1,1
0,1,18.52,7.08,0,0,1,0,0,0,1,0,0,0,1,1
0,0,48.67,0.71,0,0,1,0,0,0,1,0,1,0,0,6
0,1,11.44,7.29,0,0,1,0,0,0,1,0,0,0,1,1
0,1,71.75,2.71,0,0,1,0,0,0,1,0,0,0,1,1
0,1,3.09,5.97,0,0,1,0,0,0,1,0,0,0,1,1
0,1,17.71,7.22,0,0,1,0,0,0,1,0,0,0,1,6
0,1,65.36,7.07,0,0,1,0,0,0,1,0,0,0,1,6
1,0,70.94,0.45,0,0,1,0,0,0,1,0,1,0,0,2
0,0,59.07,0.81,0,0,1,0,0,0,1,0,1,0,0,2
0,1,51.28,7.21,0,0,1,0,0,0,1,0,0,0,1,6
1,1,42.97,0.86,0,0,1,0,0,0,1,0,0,0,1,1
1,0,71.09,0.62,0,0,1,0,0,0,1,0,1,0,0,2
1,0,57.01,0.77,0,1,0,0,0,0,1,0,1,0,0,2
0,0,29.62,0.54,0,1,0,0,0,0,1,0,0,1,0,2
0,1,64.78,7.05,0,1,0,0,0,0,1,0,0,0,1,6
0,1,60.91,7.17,0,1,0,0,0,0,1,0,0,0,1,1
0,1,41.88,7.14,0,1,0,0,0,0,1,0,0,0,1,1
0,1,49.65,7.38,0,1,0,0,0,0,1,0,0,0,1,1
1,1,58.14,1.2,0,1,0,0,0,0,1,0,0,0,1,1
1,0,70.94,0.45,0,1,0,0,0,0,1,0,1,0,0,6
0,1,80.97,3.69,0,1,0,0,0,0,1,0,0,0,1,1
0,1,59.97,0.62,0,1,0,0,0,0,1,0,0,0,1,2
0,1,22.85,7.17,0,1,0,0,0,0,1,0,0,0,1,6
0,0,75.89,0.61,0,1,0,0,0,0,1,0,1,0,0,2
1,0,83.85,0.38,0,1,0,0,0,0,1,0,1,0,0,2
0,1,24.8,7.28,0,1,0,0,0,0,1,0,0,0,1,1
0,0,20.31,0.62,0,1,0,0,0,0,1,0,0,1,0,2
0,1,53.98,7.48,0,1,0,0,0,0,1,0,0,0,1,6
0,1,7.81,7.49,0,1,0,0,0,0,1,0,0,0,1,1
0,0,40.97,0.98,0,1,0,0,0,0,1,0,1,0,0,2
0,0,26.86,0.83,0,1,0,0,0,0,1,0,1,0,0,2
0,1,30.72,5.56,0,1,0,0,0,0,1,0,0,0,1,1
1,0,80.91,0.6,0,1,0,0,0,0,1,0,1,0,0,2
0,0,39.79,0.75,0,1,0,0,0,0,1,0,1,0,0,2
0,1,69.11,4.64,0,1,0,0,0,0,1,0,0,0,1,1
0,1,67.16,4.13,0,1,0,0,0,0,1,0,0,0,1,1
0,1,74.55,0.56,0,1,0,0,0,0,1,0,0,0,1,1
0,0,23.85,0.93,0,1,0,0,0,0,1,0,1,0,0,1
0,0,67.28,0.52,0,1,0,0,0,0,1,0,0,1,0,2
0,1,83.15,1.24,0,0,1,0,0,0,1,0,0,0,1,6
0,0,52.08,0.68,0,0,1,0,0,0,1,0,1,0,0,2
1,0,66.54,0.64,0,0,1,0,0,0,1,0,1,0,0,2
0,0,15.55,2.0,0,0,1,0,0,0,1,0,1,0,0,6
0,1,33.85,7.31,0,0,1,0,0,0,1,0,0,0,1,1
1,0,55.84,0.65,0,0,1,0,0,0,1,0,1,0,0,2
0,1,31.89,4.87,0,0,1,0,0,0,1,0,0,0,1,1
0,1,26.76,5.47,0,0,1,0,0,0,1,0,0,0,1,1
0,1,23.19,7.48,0,0,1,0,0,0,1,0,0,0,1,1
0,1,13.89,7.36,0,0,1,0,0,0,1,0,0,0,1,1
0,0,32.3,1.7,0,0,1,0,0,0,1,0,1,0,0,6
0,1,49.11,5.24,0,0,1,0,0,0,1,0,0,0,1,1
1,0,17.29,2.52,0,0,1,0,0,0,1,0,0,0,1,1
0,1,3.17,3.87,0,0,1,0,0,0,1,0,0,0,1,6
0,1,23.89,8.47,0,0,1,0,0,0,1,0,0,0,1,6
0,1,13.57,7.08,0,0,1,0,0,0,1,0,0,0,1,1
0,0,9.3,3.31,0,0,1,0,0,0,1,0,1,0,0,1
0,1,22.03,0.86,0,0,1,0,0,0,1,0,0,0,1,2
0,1,23.3,7.31,0,0,1,0,0,0,1,0,0,0,1,6
0,1,20.03,1.88,0,0,1,0,0,0,1,0,0,0,1,1
0,0,53.57,1.07,0,0,1,0,0,0,1,0,1,0,0,1
0,1,38.97,2.13,0,0,1,0,0,0,1,0,0,0,1,1
0,1,25.15,5.04,0,0,1,0,0,0,1,0,0,0,1,1
0,0,8.46,1.46,0,0,1,0,0,0,1,0,1,0,0,1
0,1,17.7,5.64,0,0,1,0,0,0,1,0,0,0,1,1
0,1,9.48,1.95,0,0,1,0,0,0,1,0,0,0,1,1
0,1,21.28,7.38,0,0,1,0,0,0,1,0,0,0,1,1
0,0,36.52,0.72,0,0,1,0,0,0,1,0,1,0,0,2
0,1,24.48,7.5,0,0,1,0,0,0,1,0,0,0,1,1
0,0,69.83,0.74,0,0,1,0,0,0,1,0,0,1,0,2
1,0,15.13,1.44,0,0,1,0,0,0,1,0,1,0,0,6
0,1,21.5,7.16,0,0,1,0,0,0,1,0,0,0,1,1
0,1,62.05,2.73,0,0,1,0,0,0,1,0,0,0,1,1
0,1,77.03,0.66,0,0,1,0,0,0,1,0,0,0,1,3
0,0,5.75,1.07,0,0,1,0,0,0,1,0,0,0,1,6
0,1,14.78,4.83,0,0,1,0,0,0,1,0,0,0,1,1
0,1,20.6,7.0,0,0,1,0,0,0,1,0,0,0,1,1
0,1,26.68,7.28,0,0,1,0,0,0,1,0,0,0,1,1
0,0,8.12,3.41,0,0,1,0,0,0,1,0,1,0,0,1
0,1,16.24,8.62,0,0,1,0,0,0,1,0,0,0,1,6
0,1,63.42,7.07,0,0,1,0,0,0,1,0,0,0,1,1
0,0,72.93,2.52,0,0,1,0,0,0,1,0,0,0,1,1
1,1,0.41,7.53,0,0,1,0,0,0,1,0,0,0,1,1
0,0,83.93,1.4,0,0,1,0,0,0,1,0,0,0,1,1
0,1,51.94,4.69,0,0,1,0,0,0,1,0,0,0,1,1
0,1,27.09,4.82,0,0,1,0,0,0,1,0,0,0,1,1
1,1,86.41,0.64,0,0,1,0,0,0,1,0,0,0,1,1
0,1,19.83,4.74,0,0,1,0,0,0,1,0,0,0,1,1
0,0,25.62,1.24,0,0,1,0,0,0,1,0,0,0,1,1
0,1,31.84,7.21,0,0,1,0,0,0,1,0,0,0,1,1
0,1,32.07,7.16,0,0,1,0,0,0,1,0,0,0,1,1
0,1,0.92,3.33,0,0,1,0,0,0,1,0,0,0,1,1
0,1,0.83,3.7,0,0,1,0,0,0,1,0,0,0,1,1
0,0,34.35,1.61,0,0,1,0,0,0,1,0,1,0,0,6
0,0,66.07,2.75,0,0,1,0,0,0,1,0,1,0,0,1
0,1,45.0,3.71,0,0,1,0,0,0,1,0,0,0,1,1
0,0,39.39,1.1,0,0,1,0,0,0,1,0,1,0,0,2
0,0,64.77,0.47,0,0,1,0,0,0,1,0,1,0,0,2
0,1,36.39,0.45,0,0,1,0,0,0,1,0,0,0,1,3
0,0,7.81,1.18,0,0,1,0,0,0,1,0,1,0,0,1
1,1,66.03,0.76,0,0,1,0,0,0,1,0,0,0,1,1
1,0,59.07,0.81,0,0,1,0,0,0,1,0,1,0,0,2
0,0,13.66,1.81,0,0,1,0,0,0,1,0,1,0,0,1
1,0,54.7,0.72,0,0,1,0,0,0,1,0,1,0,0,2
0,1,5.18,4.15,0,0,1,0,0,0,1,0,0,0,1,1
0,1,71.17,3.96,0,0,1,0,0,0,1,0,0,0,1,1
0,1,28.88,4.66,0,0,1,0,0,0,1,0,0,0,1,1
0,0,21.42,1.03,0,0,1,0,0,0,1,0,1,0,0,6
1,0,59.07,0.81,0,0,1,0,0,0,1,0,1,0,0,2
0,1,73.72,2.06,0,0,1,0,0,0,1,0,0,0,1,3
0,1,45.61,3.6,0,0,1,0,0,0,1,0,0,0,1,1
0,1,5.56,4.42,0,0,1,0,0,0,1,0,0,0,1,1
0,1,44.96,5.23,0,0,1,0,0,0,1,0,0,0,1,1
